
[20:18:58] [Main/INFO]	: |Preloading global variables| 
[20:18:58] [Main/ERROR]	: |Instance crahed| (<class 'ValueError'>, ValueError('invalid literal for int() with base 10: \'{"auto_save": true, "keybinds": {"esc": ["\\\\u001b"], "up": ["H", 1], "down": ["P", 1], "left": ["K", 1], "right": ["M", 1], "enter": ["\\\\r"]}}\''), <traceback object at 0x0000007D80CBFEC0>)

[20:20:00] [Main/INFO]	: |Preloading global variables| 
[20:20:00] [Main/INFO]	: |Recreated settings| 
[20:20:00] [Main/INFO]	: |Beginning new instance| 
[20:20:05] [Main/INFO]	: |Created save| slot number: 1, player name: "kk"
[20:20:05] [Main/INFO]	: |Preparing game data| 
[20:20:05] [Main/INFO]	: |Game loop started| 
[20:20:10] [Auto saver/INFO]	: |Beggining auto save| slot number: None
[20:20:15] [Auto saver/INFO]	: |Beggining auto save| slot number: None
[20:20:16] [Main/INFO]	: |Game loop ended| 

[20:20:32] [Main/INFO]	: |Preloading global variables| 
[20:20:32] [Main/INFO]	: |Beginning new instance| 
[20:20:32] [Main/ERROR]	: |Parse error| Slot number: 1

[20:20:58] [Main/INFO]	: |Preloading global variables| 
[20:20:58] [Main/INFO]	: |Beginning new instance| 
[20:20:58] [Main/ERROR]	: |Parse error| Slot number: 1

[20:21:04] [Main/INFO]	: |Preloading global variables| 
[20:21:04] [Main/INFO]	: |Beginning new instance| 
[20:21:08] [Main/INFO]	: |Created save| slot number: 1, player name: "h"
[20:21:08] [Main/INFO]	: |Preparing game data| 
[20:21:08] [Main/INFO]	: |Game loop started| 
[20:21:13] [Auto saver/INFO]	: |Beggining auto save| slot number: None

[20:21:14] [Main/INFO]	: |Preloading global variables| 
[20:21:14] [Main/INFO]	: |Beginning new instance| 
[20:21:14] [Main/ERROR]	: |Parse error| Slot number: 1
